feature,auc,auc_strength,auc_bull,auc_bear,spear_abs,spear_signed
p13_leg_size_pct,0.49503043700685273,0.00496956299314727,0.5034294444259002,0.4844043572077794,0.17462479736620268,0.020997203441854212
p20_leg_size_pct,0.5049453960775281,0.004945396077528086,0.5121370125152257,0.4958468578409743,0.1461749447287039,0.019787115761517475
p4_stoch_cross,0.49511429080246216,0.004885709197537835,0.49289366773283416,0.4979237320571537,-0.012425341606501116,-0.003660565007844755
curr_stoch_k,0.5048127749250808,0.004812774925080809,0.510677668978951,0.4973927514484728,-0.017419943887016582,0.003146800757088096
legs_contracting,0.4951889659754336,0.004811034024566396,0.4915036767494345,0.4998514427949354,0.02238529243693973,-0.0006578852602062586
p7_plus_di,0.5047702272621255,0.004770227262125504,0.5074058006167947,0.5014358079211548,0.01152302098888047,0.006143773066614928
curr_leg_speed,0.5047555279862106,0.004755527986210595,0.5005199502728122,0.5101142072362944,0.24050837927990693,0.0074533210286953176
p3_macd_signal,0.5047328624831738,0.004732862483173839,0.5132547564146166,0.49395131170737755,-0.04291584329017748,0.0002085963588672306
p8_stoch_k,0.5047267810824037,0.004726781082403653,0.5055551680360273,0.5036787398753255,-0.010565229055420355,0.001172936234528132
p3_macd_line,0.504610886598437,0.004610886598437003,0.5127391920355153,0.4943272878472608,-0.038302125466899185,-0.0003192689343794466
p2_cp_gap_filled,0.504572854438679,0.004572854438679053,0.5011943370717518,0.5088472160807594,-0.013506569912246668,-0.0015072687534867925
trend4_size_pct,0.504564737681835,0.004564737681834963,0.5040201327099243,0.5052537495616639,0.044971175777184846,-0.002307491880161011
p1_stoch_d,0.5045400286649846,0.004540028664984597,0.5009278102197167,0.5091100593288524,-0.010115053805054158,-0.0044267386946176815
p6_plus_di,0.5045241350571205,0.00452413505712046,0.5113792739137104,0.49585129445947324,0.0042383146878519,0.009509670225609036
p3_rsi,0.5045020106841553,0.004502010684155344,0.5100465353268532,0.49748730545034114,-0.02464551475441811,-0.0006958776826767054
p6_ema20_dist,0.5044929645276726,0.0044929645276725605,0.5088710365240683,0.4989540073534849,-0.022905794786842296,0.004734653687359033
curr_cp_outside,0.4955323046539758,0.004467695346024203,0.49367043934645594,0.49788786029832066,-0.022753504340623683,-0.008996919704873164
p19_leg_size_pct,0.5044610959287783,0.0044610959287783025,0.5129570059776845,0.49371241889574086,0.154183473453184,0.024138220350855725
p5_rsi,0.5044589673413928,0.004458967341392839,0.5070493027819675,0.5011817811544282,-0.020286623752379048,0.005265514514231189
p2_cp_body_pct,0.49560553629547077,0.004394463704529228,0.49733988695651776,0.4934113069533147,-0.015294526218110449,0.003536553626726093
curr_bb_bandwidth,0.49571183960824494,0.004288160391755058,0.493366155624942,0.4986795028030005,0.3267782797162899,0.008923982448628772
p4_stoch_k,0.5042870882316703,0.004287088231670344,0.501332784838353,0.5080247517485368,-0.00848407012894879,-0.005221716795379681
p3_stoch_cross,0.4957685865942059,0.004231413405794082,0.4925016191900964,0.49990181979725223,-0.013206842783794609,-0.0076247687817048
p12_leg_duration,0.5042177853188046,0.004217785318804568,0.49784936039616895,0.5122748554041181,-0.0130569165240371,-0.004402254798207355
p16_leg_speed,0.5041841006516509,0.004184100651650868,0.5135552993290701,0.4923280443355915,0.13849601611972573,0.017529608663130494
p1_cp_3bar_dir,0.4958240442688186,0.004175955731181402,0.5023221210232619,0.48760294400206255,-0.0040436662567409545,0.006908064343741759
p1_cp_momentum,0.4958240442688186,0.004175955731181402,0.5023221210232619,0.48760294400206255,-0.0040436662567409545,0.006908064343741759
curr_ema20_dist,0.5041635398454759,0.004163539845475905,0.5201580842598773,0.4839278980824011,-0.028618003163716762,0.004606103271253334
curr_cp_gap_pct,0.4958479961697252,0.004152003830274809,0.5017170819086189,0.48842266954509883,-0.007961471273034296,-0.00021666518595945348
